,Tri-gram,Frequency
0,asp net core,3
1,docker docker compose,2
2,python tensorflow machine,2
3,tensorflow machine learning,2
4,machine learning keras,2
5,minimum spanning tree,2
6,google cloud vertex,2
7,cloud vertex ai,2
8,google cloud platform,2
9,react navigation drawer,2
10,mins ago florian,2
11,mins ago user,2
12,community moderator election,2
13,docker software engineer,2
14,stack overflow products,1
15,overflow products search,1
16,bronze badges home,1
17,badges home public,1
18,home public questions,1
19,public questions tags,1
20,questions tags users,1
21,tags users collectives,1
22,users collectives explore,1
23,collectives explore collectives,1
24,explore collectives findjob,1
